"number.participants"	"liters.per.hour"
17	0.790660632612317
31	0.911445035350069
26	0.815614237075213
23	0.798382631203917
20	0.819342058008337
35	0.885503761007271
37	1.04791172998973
11	0.872417291103545
37	0.918939340165048
31	0.948355169358447
35	0.871713355619076
34	1.02273270526837
25	0.901332912754662
32	0.961652438511235
27	0.923830818532728
33	1.05031829943765
20	0.892305465976443
12	0.700766158278227
14	0.75513171119587
10	0.699783756632035
10	0.748453626767514
29	1.02648235193608
